yymmdd,qty,rhm_avg,gsr_sum,discount,cust_grp_cd,biz_cd,line_cd,brand_cd,브랜드,SP1
2021-11-21,74.83,70.94,9.19,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2021-11-28,49.16,60.01,8.3,0.25,1095,P1,P103,P103056,칸쵸,종로영업소
2021-12-05,36.65,60.36,9.1,0.26,1095,P1,P103,P103056,칸쵸,종로영업소
2021-12-12,86.89,70.99,6.89,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-12-19,48.26,67.66,7.13,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2021-12-26,47.34,62.28,7.51,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-01-02,54.39,62.0,6.64,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2022-01-09,60.72,51.5,9.95,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2022-01-16,48.8,51.99,10.97,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-01-23,66.11,59.73,8.97,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2022-01-30,85.31,59.34,9.45,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2022-02-06,13.0,53.3,12.94,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-02-13,89.64,54.47,13.1,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-02-20,60.08,51.8,12.98,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-02-27,78.28,51.93,15.53,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2022-03-06,88.3,57.88,15.02,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-03-13,54.4,52.09,15.87,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-03-20,72.0,68.03,10.56,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-03-27,81.74,58.63,12.43,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2022-04-03,46.96,54.15,20.18,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-04-10,208.57,46.24,23.39,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-04-17,72.7,60.4,17.43,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-04-24,47.34,54.21,20.01,0.26,1095,P1,P103,P103056,칸쵸,종로영업소
2022-05-01,74.86,57.81,19.29,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-05-08,90.63,54.06,26.68,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-05-15,83.3,46.67,25.05,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-05-22,64.19,57.1,23.82,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-05-29,89.05,61.85,26.86,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-06-05,102.75,61.37,24.34,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2022-06-12,75.01,67.57,14.95,0.25,1095,P1,P103,P103056,칸쵸,종로영업소
2022-06-19,95.33,73.78,15.57,0.26,1095,P1,P103,P103056,칸쵸,종로영업소
2022-06-26,93.97,79.82,15.11,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-07-03,77.41,0.0,0.0,0.26,1095,P1,P103,P103056,칸쵸,종로영업소
2022-07-10,89.18,0.0,0.0,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-07-17,87.26,0.0,0.0,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2022-07-24,89.37,75.29,20.85,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2022-07-31,79.89,69.84,22.96,0.26,1095,P1,P103,P103056,칸쵸,종로영업소
2022-08-07,102.76,83.96,13.92,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-08-14,86.39,91.29,4.95,0.25,1095,P1,P103,P103056,칸쵸,종로영업소
2022-08-21,89.0,80.82,10.51,0.25,1095,P1,P103,P103056,칸쵸,종로영업소
2022-08-28,64.38,74.99,14.55,0.24,1095,P1,P103,P103056,칸쵸,종로영업소
2022-09-04,93.99,74.55,14.87,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-09-11,106.33,78.57,15.56,0.26,1095,P1,P103,P103056,칸쵸,종로영업소
