yymmdd,qty,SP1,브랜드
2021-10-03,57.65625,종로영업소,칙촉
2021-10-10,179.5,종로영업소,칙촉
2021-10-17,87.0,종로영업소,칙촉
2021-10-24,84.5625,종로영업소,칙촉
2021-10-31,112.5,종로영업소,칙촉
2021-11-07,96.125,종로영업소,칙촉
2021-11-14,123.625,종로영업소,칙촉
2021-11-21,54.65625,종로영업소,칙촉
2021-11-28,55.125,종로영업소,칙촉
2021-12-05,59.78125,종로영업소,칙촉
2021-12-12,110.8125,종로영업소,칙촉
2021-12-19,69.5,종로영업소,칙촉
2021-12-26,57.0,종로영업소,칙촉
2022-01-02,50.25,종로영업소,칙촉
2022-01-09,91.5,종로영업소,칙촉
2022-01-16,79.5625,종로영업소,칙촉
2022-01-23,71.0,종로영업소,칙촉
2022-01-30,63.375,종로영업소,칙촉
2022-02-06,47.0,종로영업소,칙촉
2022-02-13,85.25,종로영업소,칙촉
2022-02-20,73.5,종로영업소,칙촉
2022-02-27,59.75,종로영업소,칙촉
2022-03-06,66.3125,종로영업소,칙촉
2022-03-13,79.375,종로영업소,칙촉
2022-03-20,123.375,종로영업소,칙촉
2022-03-27,68.0,종로영업소,칙촉
2022-04-03,179.5,종로영업소,칙촉
2022-04-10,81.625,종로영업소,칙촉
2022-04-17,98.0,종로영업소,칙촉
2022-04-24,62.84375,종로영업소,칙촉
2022-05-01,98.1875,종로영업소,칙촉
2022-05-08,109.9375,종로영업소,칙촉
2022-05-15,86.75,종로영업소,칙촉
2022-05-22,97.5,종로영업소,칙촉
2022-05-29,84.0,종로영업소,칙촉
2022-06-05,57.09375,종로영업소,칙촉
2022-06-12,105.0625,종로영업소,칙촉
2022-06-19,99.1875,종로영업소,칙촉
2022-06-26,92.875,종로영업소,칙촉
2022-07-03,80.125,종로영업소,칙촉
2022-07-10,108.75,종로영업소,칙촉
2022-07-17,79.375,종로영업소,칙촉
2022-07-24,64.125,종로영업소,칙촉
2022-07-31,98.125,종로영업소,칙촉
2022-08-07,150.5,종로영업소,칙촉
2022-08-14,135.5,종로영업소,칙촉
2022-08-21,76.875,종로영업소,칙촉
2022-08-28,86.375,종로영업소,칙촉
2022-09-04,129.125,종로영업소,칙촉
2022-09-11,141.875,종로영업소,칙촉
2022-09-18,77.875,종로영업소,칙촉
2022-09-25,179.5,종로영업소,칙촉
2022-10-02,75.875,종로영업소,칙촉
2022-10-09,140.0,종로영업소,칙촉
2022-10-16,119.5,종로영업소,칙촉
2022-10-23,90.25,종로영업소,칙촉
2022-10-30,89.0625,종로영업소,칙촉
2022-11-06,121.9375,종로영업소,칙촉
2022-11-13,103.625,종로영업소,칙촉
2022-11-20,92.4375,종로영업소,칙촉
2022-11-27,76.0,종로영업소,칙촉
2022-12-04,104.1875,종로영업소,칙촉
2022-12-11,127.375,종로영업소,칙촉
2022-12-18,179.5,종로영업소,칙촉
2022-12-25,132.25,종로영업소,칙촉
2023-01-01,85.875,종로영업소,칙촉
2023-01-08,179.5,종로영업소,칙촉
2023-01-15,135.5,종로영업소,칙촉
2023-01-22,179.5,종로영업소,칙촉
2020-03-22,47.21875,종로영업소,말랑카우
2020-03-29,6.5703125,종로영업소,말랑카우
2020-04-05,83.5625,종로영업소,말랑카우
2020-04-12,57.6875,종로영업소,말랑카우
2020-04-19,22.3125,종로영업소,말랑카우
2020-04-26,53.78125,종로영업소,말랑카우
2020-05-03,31.546875,종로영업소,말랑카우
2020-05-10,55.09375,종로영업소,말랑카우
2020-05-17,64.875,종로영업소,말랑카우
2020-05-24,39.78125,종로영업소,말랑카우
2020-05-31,37.1875,종로영업소,말랑카우
2020-06-07,87.625,종로영업소,말랑카우
2020-06-14,44.6875,종로영업소,말랑카우
2020-06-21,63.5,종로영업소,말랑카우
2020-06-28,68.3182601928711,종로영업소,말랑카우
2020-07-05,69.125,종로영업소,말랑카우
2020-07-12,59.09375,종로영업소,말랑카우
2020-07-19,63.78125,종로영업소,말랑카우
2020-07-26,21.953125,종로영업소,말랑카우
2020-08-02,59.25,종로영업소,말랑카우
2020-08-09,87.5,종로영업소,말랑카우
2020-08-16,15.25,종로영업소,말랑카우
2020-08-23,54.3125,종로영업소,말랑카우
2020-08-30,47.15625,종로영업소,말랑카우
2020-09-06,111.625,종로영업소,말랑카우
2020-09-13,43.4375,종로영업소,말랑카우
2020-09-20,61.4375,종로영업소,말랑카우
2020-09-27,9.296875,종로영업소,말랑카우
2020-10-04,42.25,종로영업소,말랑카우
2020-10-11,80.1875,종로영업소,말랑카우
2020-10-18,129.25,종로영업소,말랑카우
