y,ds,str_cd,prod_cd
6,2019-09-24,110438,46145000
6,2019-09-25,110438,46145000
4,2019-09-26,110438,46145000
9,2019-09-27,110438,46145000
2,2019-09-28,110438,46145000
7,2019-09-29,110438,46145000
6,2019-09-30,110438,46145000
5,2019-10-01,110438,46145000
4,2019-10-02,110438,46145000
4,2019-10-03,110438,46145000
7,2019-10-04,110438,46145000
8,2019-10-05,110438,46145000
6,2019-10-06,110438,46145000
7,2019-10-07,110438,46145000
3,2019-10-08,110438,46145000
2,2019-10-09,110438,46145000
7,2019-10-10,110438,46145000
11,2019-10-11,110438,46145000
6,2019-10-12,110438,46145000
6,2019-10-14,110438,46145000
3,2019-10-15,110438,46145000
17,2019-10-16,110438,46145000
22,2019-10-17,110438,46145000
25,2019-10-18,110438,46145000
16,2019-10-19,110438,46145000
17,2019-10-20,110438,46145000
35,2019-10-21,110438,46145000
24,2019-10-22,110438,46145000
21,2019-10-23,110438,46145000
5,2019-10-24,110438,46145000
0,2019-10-25,110438,46145000
30,2019-10-26,110438,46145000
24,2019-10-28,110438,46145000
32,2019-10-29,110438,46145000
23,2019-10-30,110438,46145000
14,2019-10-31,110438,46145000
27,2019-11-01,110438,46145000
24,2019-11-02,110438,46145000
40,2019-11-03,110438,46145000
33,2019-11-04,110438,46145000
30,2019-11-05,110438,46145000
35,2019-11-06,110438,46145000
28,2019-11-07,110438,46145000
17,2019-11-08,110438,46145000
20,2019-11-09,110438,46145000
33,2019-11-11,110438,46145000
34,2019-11-12,110438,46145000
16,2019-11-13,110438,46145000
37,2019-11-14,110438,46145000
22,2019-11-15,110438,46145000
21,2019-11-16,110438,46145000
13,2019-11-17,110438,46145000
34,2019-11-18,110438,46145000
31,2019-11-19,110438,46145000
36,2019-11-20,110438,46145000
22,2019-11-21,110438,46145000
23,2019-11-22,110438,46145000
22,2019-11-23,110438,46145000
23,2019-11-25,110438,46145000
31,2019-11-26,110438,46145000
19,2019-11-27,110438,46145000
22,2019-11-28,110438,46145000
17,2019-11-29,110438,46145000
20,2019-11-30,110438,46145000
11,2019-12-01,110438,46145000
16,2019-12-02,110438,46145000
30,2019-12-03,110438,46145000
31,2019-12-04,110438,46145000
26,2019-12-05,110438,46145000
22,2019-12-06,110438,46145000
34,2019-12-07,110438,46145000
40,2019-12-09,110438,46145000
19,2019-12-10,110438,46145000
32,2019-12-11,110438,46145000
27,2019-12-12,110438,46145000
20,2019-12-13,110438,46145000
20,2019-12-14,110438,46145000
27,2019-12-15,110438,46145000
40,2019-12-16,110438,46145000
16,2019-12-17,110438,46145000
26,2019-12-18,110438,46145000
17,2019-12-19,110438,46145000
19,2019-12-20,110438,46145000
21,2019-12-21,110438,46145000
17,2019-12-23,110438,46145000
23,2019-12-24,110438,46145000
16,2019-12-25,110438,46145000
17,2019-12-26,110438,46145000
21,2019-12-27,110438,46145000
17,2019-12-28,110438,46145000
23,2019-12-29,110438,46145000
26,2019-12-30,110438,46145000
14,2019-12-31,110438,46145000
16,2020-01-01,110438,46145000
19,2020-01-02,110438,46145000
28,2020-01-03,110438,46145000
21,2020-01-04,110438,46145000
7,2020-01-05,110438,46145000
20,2020-01-06,110438,46145000
16,2020-01-07,110438,46145000
14,2020-01-08,110438,46145000
11,2020-01-09,110438,46145000
10,2020-01-10,110438,46145000
5,2020-01-11,110438,46145000
16,2020-01-13,110438,46145000
12,2020-01-14,110438,46145000
7,2020-01-15,110438,46145000
7,2020-01-16,110438,46145000
24,2020-01-17,110438,46145000
15,2020-01-18,110438,46145000
0,2020-01-19,110438,46145000
25,2020-01-20,110438,46145000
21,2020-01-21,110438,46145000
26,2020-01-22,110438,46145000
25,2020-01-23,110438,46145000
18,2020-01-24,110438,46145000
9,2020-01-25,110438,46145000
15,2020-01-27,110438,46145000
28,2020-01-28,110438,46145000
17,2020-01-29,110438,46145000
27,2020-01-30,110438,46145000
14,2020-01-31,110438,46145000
14,2020-02-01,110438,46145000
15,2020-02-02,110438,46145000
14,2020-02-03,110438,46145000
9,2020-02-04,110438,46145000
25,2020-02-05,110438,46145000
25,2020-02-06,110438,46145000
23,2020-02-07,110438,46145000
16,2020-02-08,110438,46145000
26,2020-02-10,110438,46145000
26,2020-02-11,110438,46145000
23,2020-02-12,110438,46145000
24,2020-02-13,110438,46145000
25,2020-02-14,110438,46145000
16,2020-02-15,110438,46145000
16,2020-02-16,110438,46145000
12,2020-02-17,110438,46145000
31,2020-02-18,110438,46145000
20,2020-02-19,110438,46145000
25,2020-02-20,110438,46145000
46,2020-02-21,110438,46145000
38,2020-02-22,110438,46145000
24,2020-02-24,110438,46145000
41,2020-02-25,110438,46145000
20,2020-02-26,110438,46145000
0,2020-02-27,110438,46145000
22,2020-02-28,110438,46145000
9,2020-02-29,110438,46145000
0,2020-03-01,110438,46145000
36,2020-03-02,110438,46145000
0,2020-03-03,110438,46145000
31,2020-03-04,110438,46145000
25,2020-03-05,110438,46145000
16,2020-03-06,110438,46145000
18,2020-03-07,110438,46145000
39,2020-03-09,110438,46145000
30,2020-03-10,110438,46145000
26,2020-03-11,110438,46145000
17,2020-03-12,110438,46145000
28,2020-03-13,110438,46145000
26,2020-03-14,110438,46145000
20,2020-03-15,110438,46145000
26,2020-03-16,110438,46145000
13,2020-03-17,110438,46145000
24,2020-03-18,110438,46145000
28,2020-03-19,110438,46145000
21,2020-03-20,110438,46145000
18,2020-03-21,110438,46145000
26,2020-03-23,110438,46145000
31,2020-03-24,110438,46145000
20,2020-03-25,110438,46145000
15,2020-03-26,110438,46145000
28,2020-03-27,110438,46145000
23,2020-03-28,110438,46145000
19,2020-03-29,110438,46145000
18,2020-03-30,110438,46145000
54,2020-03-31,110438,46145000
19,2020-04-01,110438,46145000
36,2020-04-02,110438,46145000
26,2020-04-03,110438,46145000
40,2020-04-04,110438,46145000
30,2020-04-05,110438,46145000
28,2020-04-06,110438,46145000
22,2020-04-07,110438,46145000
16,2020-04-08,110438,46145000
33,2020-04-09,110438,46145000
31,2020-04-10,110438,46145000
39,2020-04-11,110438,46145000
0,2020-04-13,110438,46145000
47,2020-04-14,110438,46145000
21,2020-04-15,110438,46145000
29,2020-04-16,110438,46145000
23,2020-04-17,110438,46145000
29,2020-04-18,110438,46145000
17,2020-04-19,110438,46145000
29,2020-04-20,110438,46145000
30,2020-04-21,110438,46145000
30,2020-04-22,110438,46145000
13,2020-04-23,110438,46145000
8,2020-04-24,110438,46145000
12,2020-04-25,110438,46145000
19,2020-04-27,110438,46145000
11,2020-04-28,110438,46145000
13,2020-04-29,110438,46145000
8,2020-04-30,110438,46145000
7,2020-05-01,110438,46145000
7,2020-05-02,110438,46145000
6,2020-05-03,110438,46145000
12,2020-05-04,110438,46145000
9,2020-05-05,110438,46145000
7,2020-05-06,110438,46145000
9,2020-05-07,110438,46145000
9,2020-05-08,110438,46145000
13,2020-05-09,110438,46145000
18,2020-05-11,110438,46145000
8,2020-05-12,110438,46145000
7,2020-05-13,110438,46145000
13,2020-05-14,110438,46145000
6,2020-05-15,110438,46145000
